trap_index,year_week,avg_daily_trap_count,longitude,latitude,geoid,PRESSURE
86810989fffffff,2021-41,22.91836887934727,-45.208840519210725,-10.038142040397338,1,Low
86810989fffffff,2021-42,28.83984735981239,-45.208840519210725,-10.038142040397338,1,Medium
86810989fffffff,2021-43,39.725735196298956,-45.208840519210725,-10.038142040397338,1,Medium
86810989fffffff,2021-44,50.56595563133669,-45.208840519210725,-10.038142040397338,1,Medium
86810989fffffff,2021-45,57.690807216133784,-45.208840519210725,-10.038142040397338,1,High
86810989fffffff,2021-46,58.68833916612433,-45.208840519210725,-10.038142040397338,1,High
86810989fffffff,2021-47,53.220860521605665,-45.208840519210725,-10.038142040397338,1,Medium
86810989fffffff,2021-48,43.13925747287864,-45.208840519210725,-10.038142040397338,1,Medium
86810989fffffff,2021-49,31.85641941050191,-45.208840519210725,-10.038142040397338,1,Medium
86810989fffffff,2021-50,23.19188556175535,-45.208840519210725,-10.038142040397338,1,Low
86810989fffffff,2021-51,20.078829897444848,-45.208840519210725,-10.038142040397338,1,Low
86810989fffffff,2021-52,23.57110413119104,-45.208840519210725,-10.038142040397338,1,Low
86810989fffffff,2022-01,32.4864810295205,-45.208840519210725,-10.038142040397338,1,Medium
86810989fffffff,2022-02,43.80686961205263,-45.208840519210725,-10.038142040397338,1,Medium
86810989fffffff,2022-03,53.70001880685066,-45.208840519210725,-10.038142040397338,1,Medium
86810989fffffff,2022-04,58.81683583938766,-45.208840519210725,-10.038142040397338,1,High
86810989fffffff,2022-05,57.42514275350214,-45.208840519210725,-10.038142040397338,1,High
86810989fffffff,2022-06,49.99606448287539,-45.208840519210725,-10.038142040397338,1,Medium
86810989fffffff,2022-07,39.04454059504508,-45.208840519210725,-10.038142040397338,1,Medium
86810989fffffff,2022-08,28.277951702655457,-45.208840519210725,-10.038142040397338,1,Medium
86810989fffffff,2022-09,21.34107302902611,-45.208840519210725,-10.038142040397338,1,Low
86810989fffffff,2022-10,20.582221554541572,-45.208840519210725,-10.038142040397338,1,Low
8681098a7ffffff,2021-41,31.77615544939661,-45.25380058671902,-10.156152889347783,1,Medium
8681098a7ffffff,2021-42,28.80362552656738,-45.25380058671902,-10.156152889347783,1,Medium
8681098a7ffffff,2021-43,22.95455018370029,-45.25380058671902,-10.156152889347783,1,Low
8681098a7ffffff,2021-44,16.78062557662705,-45.25380058671902,-10.156152889347783,1,Low
